version,language,gaming_frequency,imi1,imi2,imi3,imi4,imi5,imi6,imi7,imi_enjoyment,total_moves,moves_with_noun,moves_correct_form,grammatical_moves,proportion_of_valid_data,proportion_of_valid_data_providing_mechanic_actuations_hasnoun,proportion_of_valid_data_providing_mechanic_actuations_correctform
Tool,english,every-day,2,1,5,3,2,2,1,1.7142857142857142,20,20,20,0,0.0,0.0,0.0
Tool,english,several-times-a-week,3,4,2,1,3,4,3,3.7142857142857144,20,19,19,19,0.95,1.0,1.0
Tool,english,several-times-a-week,2,2,4,4,2,1,1,1.7142857142857142,20,18,18,16,0.8,0.8888888888888888,0.8888888888888888
Tool,english,almost-never,1,1,5,5,1,1,1,1.0,20,19,19,19,0.95,1.0,1.0
Game,english,every-day,3,3,3,2,2,3,2,2.857142857142857,20,19,19,18,0.9,0.9473684210526315,0.9473684210526315
Tool,english,several-times-a-week,4,4,3,1,4,4,2,3.7142857142857144,20,18,18,18,0.9,1.0,1.0
Game,english,about-once-a-week,3,3,2,4,4,4,3,3.2857142857142856,20,20,20,18,0.9,0.9,0.9
Tool,english,every-day,3,3,4,5,2,3,2,2.2857142857142856,20,18,18,16,0.8,0.8888888888888888,0.8888888888888888
Game,english,several-times-a-week,3,4,2,2,3,3,3,3.4285714285714284,20,18,18,3,0.15,0.16666666666666666,0.16666666666666666
Tool,english,several-times-a-week,2,2,4,3,2,2,2,2.142857142857143,20,14,14,8,0.4,0.5714285714285714,0.5714285714285714
Tool,english,several-times-a-week,3,2,4,2,2,2,2,2.4285714285714284,20,18,18,15,0.75,0.8333333333333334,0.8333333333333334
Game,english,several-times-a-week,5,5,1,1,4,4,2,4.285714285714286,20,20,20,0,0.0,0.0,0.0
Tool,english,almost-never,2,2,3,3,1,2,2,2.142857142857143,20,18,18,17,0.85,0.9444444444444444,0.9444444444444444
Tool,english,every-day,4,5,1,1,4,4,4,4.428571428571429,20,18,18,18,0.9,1.0,1.0
Tool,english,several-times-a-week,3,3,4,2,2,2,2,2.5714285714285716,20,19,19,19,0.95,1.0,1.0
Tool,english,every-day,3,3,3,2,2,1,1,2.4285714285714284,20,18,18,10,0.5,0.5555555555555556,0.5555555555555556
Tool,english,about-once-a-week,5,5,4,1,4,4,4,4.142857142857143,20,19,18,17,0.85,0.8947368421052632,0.9444444444444444
Game,english,several-times-a-week,4,5,2,1,4,5,5,4.571428571428571,20,18,18,8,0.4,0.4444444444444444,0.4444444444444444
Game,english,several-times-a-week,4,4,2,2,3,4,4,3.857142857142857,20,19,19,1,0.05,0.05263157894736842,0.05263157894736842
Tool,english,every-day,4,4,1,1,4,4,4,4.285714285714286,20,17,17,12,0.6,0.7058823529411765,0.7058823529411765
Game,english,almost-never,4,4,1,4,4,4,4,3.857142857142857,20,16,15,1,0.05,0.0625,0.06666666666666667
Game,english,several-times-a-week,5,5,1,1,1,5,5,4.428571428571429,20,19,19,0,0.0,0.0,0.0
Game,english,about-once-a-month,5,5,1,1,3,5,2,4.285714285714286,20,20,20,8,0.4,0.4,0.4
Tool,english,every-day,5,5,1,1,5,5,5,5.0,20,20,15,0,0.0,0.0,0.0
Tool,english,about-once-a-week,3,2,3,2,2,3,2,2.7142857142857144,20,19,19,18,0.9,0.9473684210526315,0.9473684210526315
Tool,english,several-times-a-week,4,3,3,2,4,4,3,3.5714285714285716,20,19,19,19,0.95,1.0,1.0
Game,english,almost-never,4,4,1,1,4,4,4,4.285714285714286,20,19,19,11,0.55,0.5789473684210527,0.5789473684210527
Tool,english,every-day,3,3,2,2,3,3,4,3.4285714285714284,20,20,12,1,0.05,0.05,0.08333333333333333
Game,english,several-times-a-week,4,4,2,1,4,4,3,4.0,20,19,19,12,0.6,0.631578947368421,0.631578947368421
Tool,english,several-times-a-week,4,4,2,1,3,4,3,3.857142857142857,20,20,20,15,0.75,0.75,0.75
Game,english,several-times-a-week,4,3,2,4,4,4,1,3.142857142857143,20,17,17,11,0.55,0.6470588235294118,0.6470588235294118
Tool,english,almost-never,3,3,4,3,1,3,1,2.2857142857142856,20,17,17,16,0.8,0.9411764705882353,0.9411764705882353
Tool,english,every-day,4,4,3,1,2,2,3,3.2857142857142856,20,19,19,4,0.2,0.21052631578947367,0.21052631578947367
Game,english,every-day,4,4,2,2,3,4,4,3.857142857142857,20,20,20,1,0.05,0.05,0.05
Tool,english,several-times-a-week,2,1,5,3,1,1,1,1.4285714285714286,20,20,20,2,0.1,0.1,0.1
Game,english,about-once-a-week,4,4,2,2,4,4,4,4.0,20,20,18,4,0.2,0.2,0.2222222222222222
Game,english,every-day,4,4,2,2,4,4,4,4.0,20,20,20,7,0.35,0.35,0.35
Game,english,every-day,3,3,1,1,3,3,3,3.5714285714285716,20,19,19,16,0.8,0.8421052631578947,0.8421052631578947
Tool,english,several-times-a-week,4,5,1,2,4,4,3,4.142857142857143,20,20,20,17,0.85,0.85,0.85
Game,english,every-day,5,5,1,1,5,5,5,5.0,20,19,19,14,0.7,0.7368421052631579,0.7368421052631579
Game,english,almost-never,4,4,1,1,5,5,3,4.428571428571429,20,20,20,18,0.9,0.9,0.9
Game,english,several-times-a-week,4,4,1,1,4,4,1,3.857142857142857,20,18,18,1,0.05,0.05555555555555555,0.05555555555555555
Game,english,every-day,4,4,2,2,4,4,2,3.7142857142857144,20,19,19,19,0.95,1.0,1.0
Tool,english,every-day,4,4,1,1,4,4,2,4.0,20,19,19,18,0.9,0.9473684210526315,0.9473684210526315
Tool,english,about-once-a-month,3,3,1,1,3,3,1,3.2857142857142856,20,20,20,11,0.55,0.55,0.55
Game,english,every-day,4,4,1,1,1,4,3,3.7142857142857144,20,20,20,3,0.15,0.15,0.15
Game,english,several-times-a-week,2,2,4,3,2,2,2,2.142857142857143,20,18,18,17,0.85,0.9444444444444444,0.9444444444444444
Game,english,almost-never,3,2,4,3,3,2,2,2.4285714285714284,20,18,16,14,0.7,0.7777777777777778,0.875
Game,english,several-times-a-week,5,5,1,1,4,5,4,4.714285714285714,20,20,20,19,0.95,0.95,0.95
Game,english,every-day,4,4,1,1,4,3,4,4.142857142857143,20,19,18,10,0.5,0.5263157894736842,0.5555555555555556
Game,english,every-day,3,3,1,1,3,3,2,3.4285714285714284,20,17,17,1,0.05,0.058823529411764705,0.058823529411764705
Tool,english,every-day,4,4,2,2,4,4,3,3.857142857142857,20,18,18,17,0.85,0.9444444444444444,0.9444444444444444
Game,english,about-once-a-month,4,4,4,3,4,3,2,3.142857142857143,20,15,15,5,0.25,0.3333333333333333,0.3333333333333333
Game,english,several-times-a-week,3,4,3,1,5,5,3,4.0,20,20,20,15,0.75,0.75,0.75
Tool,english,every-day,4,4,2,2,3,4,2,3.5714285714285716,20,19,19,16,0.8,0.8421052631578947,0.8421052631578947
Tool,english,about-once-a-week,3,3,3,3,2,2,1,2.4285714285714284,20,20,20,19,0.95,0.95,0.95
